"id";"city";"country";"region";"short_description";"latitude";"longitude";"budget_level";"culture";"adventure";"nature";"beaches";"nightlife";"cuisine";"wellness";"urban";"remoteness";"creative_city_category";"creative_city_year";"unesco_wh_count";"unesco_wh_names"
"5aab6f8f-70db-41a8-a1fb-e8d9026e533b";"Amsterdam";"Netherlands";"europe";"Charming canals wind through vibrant neighborhoods, where historic architecture meets cozy cafés and the air buzzes with a creative energy.";"52373079";"4892453";"Mid-range";"5";"3";"3";"2";"5";"4";"3";"5";"2";"None";"0";"4";"Dutch Water Defence Lines | Droogmakerij de Beemster (Beemster Polder) | Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht | Frontiers of the Roman Empire – The Lower German Limes"
"8755d625-7efa-4e92-aed9-cb2386083a44";"New York";"United States";"north_america";"The city buzzes with energy, offering iconic skylines, diverse cultures, and a sensory overload of sights, sounds, and tastes at every corner.";"40712728";"-74006015";"Luxury";"5";"3";"3";"2";"5";"5";"3";"5";"1";"None";"0";"0";"None"
"79a47311-1ffb-44d1-bd87-a1a9fb190f40";"Chicago";"United States";"north_america";"Dynamic streets filled with diverse food, vibrant arts, and stunning architecture create a lively yet welcoming urban atmosphere by the lake.";"41875561";"-87624421";"Luxury";"5";"3";"3";"2";"5";"5";"3";"5";"2";"None";"0";"0";"None"
"630b0ecb-8651-476e-803d-b65f99f342a3";"Raleigh";"United States";"north_america";"Tree-lined streets and historic architecture mix with modern art scenes and vibrant food markets, offering a warm, welcoming southern charm.";"35780397";"-78639098";"Mid-range";"4";"3";"4";"2";"3";"4";"3";"4";"3";"None";"0";"0";"None"
"0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab";"Trondheim";"Norway";"europe";"Charming wooden houses, crisp Nordic air, and a vibrant student atmosphere create a cozy yet lively vibe that's both welcoming and invigorating.";"63430447";"10395211";"Luxury";"4";"3";"4";"2";"3";"3";"3";"3";"4";"None";"0";"0";"None"
"955899e4-7ccb-4b6a-a85c-a9b73efe6876";"Bruges";"Belgium";"europe";"Cobblestone streets lined with medieval architecture and the aroma of fresh waffles create a charming and nostalgic atmosphere, perfect for leisurely exploration.";"51208552";"3226772";"Mid-range";"5";"2";"3";"1";"3";"4";"3";"3";"4";"None";"0";"1";"Historic Centre of Brugge"
"57239ab4-5376-4b81-a35e-fc8a27fb5812";"Reykjavik";"Iceland";"europe";"Colorful rooftops, crisp sea air, and the allure of geothermal pools create a unique blend of natural beauty and urban charm.";"64145981";"-21942236";"Luxury";"3";"4";"5";"2";"3";"3";"4";"3";"4";"None";"0";"0";"None"
"6d8f232e-d34d-4dac-95c4-e01d7983124c";"Seoul";"South Korea";"asia";"A dynamic blend of futuristic skyscrapers and ancient palaces, bustling markets, and tranquil parks, creating an energetic yet harmonious urban experience.";"37566679";"126978291";"Mid-range";"5";"3";"3";"2";"5";"5";"4";"5";"2";"Design";"2010";"4";"Jongmyo Shrine | Changdeokgung Palace Complex | Hwaseong Fortress | Namhansanseong"
"86f34228-6edb-4171-ba62-79fffa9e06f6";"Ankara";"Turkey";"asia";"A blend of modern and historic vibes, offering bustling markets, serene parks, and a rich tapestry of cultural experiences.";"39920775";"32854049";"Mid-range";"4";"2";"3";"1";"3";"4";"3";"4";"2";"None";"0";"0";"None"
"fa445d6d-7fb4-4832-ba37-08ff468a1430";"Kyoto";"Japan";"asia";"Serene temples and vibrant gardens blend with the gentle rustle of bamboo forests, creating a tranquil yet deeply enriching experience.";"35011575";"135768144";"Luxury";"5";"2";"4";"1";"2";"5";"3";"3";"4";"None";"0";"1";"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)"
"1fd503e7-d209-40c1-abd0-299af9c7d4de";"Tampa";"United States";"north_america";"Sun-drenched streets, vibrant waterfronts, and a lively cultural scene create an inviting mix of relaxation and adventure for visitors.";"27947759";"-82458444";"Mid-range";"3";"3";"4";"4";"4";"4";"3";"3";"2";"None";"0";"0";"None"
"39e15d15-ec4c-4ba9-9cd5-6775945aad8f";"Dublin";"Ireland";"europe";"Charming cobblestone streets, lively pubs filled with music, and a rich tapestry of history create a welcoming and vibrant atmosphere.";"53349379";"-6260559";"Mid-range";"4";"2";"3";"2";"4";"4";"3";"4";"2";"Literature";"2010";"1";"Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne"
"c0cc2c39-9e57-4edd-8696-2119a96ca6cb";"Washington";"United States";"north_america";"Majestic landscapes blend with vibrant city life, offering a mix of natural beauty, cultural richness, and a welcoming atmosphere.";"38895036";"-77036542";"Mid-range";"5";"2";"3";"1";"4";"4";"3";"5";"2";"None";"0";"0";"None"
"dd54b0e6-43e7-4be6-9eb4-5e4863f25f52";"Livingstone";"Zambia";"africa";"Feel the rush of cascading waterfalls and the thrill of wildlife encounters, all amidst a backdrop of vibrant sunsets and warm local hospitality.";"-17853135";"25861429";"Mid-range";"3";"5";"5";"2";"2";"3";"3";"2";"4";"None";"0";"1";"Mosi-oa-Tunya / Victoria Falls"
"09323a57-0f0c-4190-9ce5-e689efe6137d";"Kraków";"Poland";"europe";"Cobblestone streets lead to vibrant squares filled with the buzz of locals and tourists alike, offering a blend of history and lively culture.";"50061947";"19936856";"Mid-range";"5";"2";"3";"1";"4";"4";"3";"4";"2";"None";"0";"0";"None"
"87177e3c-1535-45af-a1e7-e65357f2c0d3";"Petra";"Jordan";"middle_east";"Wandering through ancient canyons, you'll feel the echoes of history in the rose-red stone, with every step revealing stunning, time-worn architecture.";"30325836";"35474566";"Mid-range";"5";"4";"4";"1";"1";"3";"2";"1";"4";"None";"0";"1";"Petra"
"50dc5be0-a23e-4da3-aecc-f5f095c26bdb";"Athens";"Greece";"europe";"Ancient ruins stand proudly against a backdrop of vibrant street life and bustling markets, where history and modernity create an electrifying blend.";"37975564";"23734832";"Mid-range";"5";"3";"3";"3";"4";"5";"3";"4";"2";"None";"0";"1";"Acropolis, Athens"
"769e57b7-a2fe-4eb9-8d39-4c7a0b940c02";"Malé";"Maldives";"asia";"Vibrant markets, azure waters, and the gentle hum of island life create an inviting atmosphere that feels both exotic and familiar.";"4177987";"73510738";"Mid-range";"2";"3";"5";"5";"2";"3";"4";"3";"3";"None";"0";"0";"None"
"163cf783-592c-448f-b33c-f28ac7cce617";"Austin";"United States";"north_america";"Live music spills from vibrant bars, food trucks serve up eclectic flavors, and the warm, welcoming vibe makes you feel instantly at home.";"30271128";"-97743699";"Mid-range";"4";"3";"3";"1";"5";"5";"3";"4";"2";"Media Arts";"2015";"0";"None"
"e3597f71-7e84-47f9-b3f2-567398c8fcdd";"Pago Pago";"American Samoa";"oceania";"Lush green mountains meet crystal-clear waters, where laid-back island vibes and vibrant Polynesian culture create a welcoming and serene atmosphere.";"-14275478";"-170704829";"Mid-range";"3";"4";"5";"4";"2";"3";"3";"2";"4";"None";"0";"0";"None"
"e8ad2770-6863-4e5c-a993-04884328802e";"Luanda";"Angola";"africa";"A bustling port city with vibrant markets, lively music scenes, and a warm coastal breeze that invites exploration and discovery.";"-8827269";"13243951";"Mid-range";"3";"3";"3";"3";"3";"4";"2";"3";"2";"None";"0";"0";"None"
"ae842628-e555-44fe-881f-93ac5378c589";"New Orleans";"United States";"north_america";"Lively streets echo with jazz, while the scent of Creole cuisine fills the air, creating a vibrant and soulful experience.";"29975998";"-90078212";"Mid-range";"5";"3";"2";"2";"5";"5";"3";"4";"2";"Music";"2025";"0";"None"
"4574d558-f5fa-4e6e-bead-e21b8cf0edcc";"Raja Ampat";"Indonesia";"asia";"Crystal-clear waters teeming with vibrant marine life and secluded islands offer a serene escape, perfect for snorkeling and diving enthusiasts seeking adventure.";"-712555";"130303447";"Luxury";"2";"4";"5";"5";"1";"3";"3";"1";"5";"None";"0";"0";"None"
"fa34b503-34f8-42a2-b918-a96c507e1378";"Hamilton Island";"Australia";"oceania";"Turquoise waters and lush landscapes create a serene escape, where gentle sea breezes and vibrant sunsets offer a perfect island retreat.";"-20354626";"148956051";"Luxury";"2";"4";"5";"5";"3";"4";"4";"2";"4";"None";"0";"0";"None"
"677fa6ef-b91a-4438-a73d-d497fc7cf2d8";"Melbourne";"Australia";"oceania";"A vibrant mix of street art, diverse cuisine, and lively laneways create an atmosphere that's both exciting and warmly inviting.";"-37814245";"144963173";"Mid-range";"5";"3";"3";"3";"4";"5";"4";"5";"2";"Literature";"2008";"1";"Royal Exhibition Building and Carlton Gardens"
"32ad5264-2d93-468d-84a0-f816c4833366";"Puebla";"Mexico";"north_america";"Cobblestone streets filled with vibrant colors, lively markets, and the aroma of rich mole create an inviting and warm atmosphere.";"18833333";"-98000000";"Mid-range";"5";"3";"3";"1";"3";"5";"3";"4";"2";"Design";"2015";"1";"Historic Centre of Puebla"
"1a3cc3d3-d65f-481f-acc0-424bd9c3210e";"Richmond";"United States";"north_america";"Historic streets lined with charming brick buildings, vibrant art scenes, and the gentle flow of the James River create a welcoming atmosphere.";"37538508";"-77434280";"Mid-range";"4";"3";"3";"2";"3";"4";"3";"3";"3";"None";"0";"0";"None"
"5324f69c-3393-469d-b375-8f6e92fa085a";"Bridgetown";"Barbados";"north_america";"Warm ocean breezes mingle with the rhythmic beats of calypso music, creating an inviting atmosphere perfect for unwinding and exploration.";"13097783";"-59618418";"Mid-range";"3";"3";"4";"5";"4";"4";"4";"3";"2";"None";"0";"1";"Historic Bridgetown and its Garrison"
"fe145875-322b-408f-8ce9-f4d04baf00a7";"Oaxaca City";"Mexico";"north_america";"Colorful streets filled with vibrant markets and the aroma of rich mole sauces create a warm and inviting cultural tapestry.";"17060466";"-96725357";"Mid-range";"5";"3";"3";"1";"3";"5";"3";"3";"3";"None";"0";"1";"Historic Centre of Oaxaca and Archaeological Site of Monte Albán"
"bf232406-1a85-47a5-9287-6ba81272a3f0";"San Sebastián";"Spain";"europe";"Golden beaches meet vibrant pintxo bars and lush green hills, creating a lively yet laid-back atmosphere perfect for unwinding and exploring.";"43322421";"-1983888";"Mid-range";"4";"3";"3";"5";"4";"5";"3";"3";"2";"None";"0";"0";"None"
"2216dc6e-cb6a-4107-b6ea-dceebd9a53eb";"Sedona";"United States";"north_america";"Red rock formations create a stunning backdrop for peaceful hikes, art galleries, and spiritual retreats, offering a serene escape from the everyday hustle.";"34868861";"-111761439";"Mid-range";"3";"4";"5";"1";"2";"3";"5";"2";"4";"None";"0";"0";"None"
"5a944377-dccf-4cc1-9234-de053e9cc1d2";"Cotonou";"Benin";"africa";"Bustling markets, vibrant street life, and warm coastal breezes create an inviting atmosphere filled with rich cultural experiences and local charm.";"6367695";"2425250";"Budget";"4";"3";"3";"3";"3";"4";"2";"3";"3";"None";"0";"0";"None"
"9ea78120-75de-4bce-b095-fb0811a3294f";"Sarajevo";"Bosnia and Herzegovina";"europe";"Cobblestone streets echo with the sound of church bells and the call to prayer, creating a unique blend of cultures and histories.";"43851977";"18386686";"Budget";"4";"3";"3";"1";"3";"4";"3";"3";"3";"Film";"2019";"0";"None"
"dfed6949-406d-4064-8c2e-5c794ded2e27";"Tirana";"Albania";"europe";"Vibrant streets filled with eclectic architecture, lively markets, and welcoming locals create an inviting atmosphere that feels both dynamic and laid-back.";"41328148";"19818443";"Budget";"3";"3";"3";"2";"3";"3";"3";"3";"2";"None";"0";"0";"None"
"8221d5a5-e813-4993-9bf6-c2bac26d0cb8";"Rio de Janeiro";"Brazil";"south_america";"Vibrant streets pulse with samba rhythms, stunning beaches meet lush mountains, and every corner offers a burst of color and life.";"-22911013";"-43209372";"Mid-range";"4";"4";"5";"5";"5";"4";"3";"4";"2";"Literature";"2023";"3";"Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea | Valongo Wharf Archaeological Site | Sítio Roberto Burle Marx"
"056161c2-b2c6-40f9-8546-bef688dd90e7";"Curitiba";"Brazil";"south_america";"Lush parks, innovative urban design, and a blend of cultures create a refreshing and vibrant cityscape that feels both modern and welcoming.";"-25429596";"-49271272";"Mid-range";"4";"3";"4";"1";"3";"4";"3";"4";"3";"Design";"2014";"0";"None"
"12ffe1e2-6387-46d6-8bbb-267855faf5f8";"Phnom Penh";"Cambodia";"asia";"Bustling streets filled with the aroma of street food, vibrant markets, and a rich tapestry of history create an unforgettable atmosphere.";"11573039";"104857807";"Budget";"4";"3";"2";"1";"3";"4";"2";"3";"2";"None";"0";"0";"None"
"807e0033-d4ff-4257-bcbc-60da406b8e4d";"Fès";"Morocco";"africa";"Winding alleys filled with vibrant souks, the aroma of spices, and the sound of artisans at work create an enchanting, timeless atmosphere.";"34034653";"-5016192";"Budget";"5";"2";"2";"1";"2";"4";"3";"3";"3";"None";"0";"1";"Medina of Fez"
"ab9a9d64-58c2-4cb0-a9ad-81ed9b17cd69";"Toronto";"Canada";"north_america";"Dynamic streets buzzing with diverse cultures, vibrant art scenes, and a skyline that hugs the shimmering lake make for an inviting urban experience.";"43653481";"-79383934";"Mid-range";"4";"3";"3";"2";"4";"4";"3";"5";"2";"Media Arts";"2017";"0";"None"
"749963fe-2962-4ffe-b78a-391afdd6a7bf";"Lucca";"Italy";"europe";"Wander through cobblestone streets surrounded by ancient walls, where charming piazzas and the aroma of fresh Italian cuisine fill the air.";"44017763";"10454430";"Mid-range";"4";"2";"3";"2";"2";"4";"3";"3";"4";"None";"0";"2";"Piazza del Duomo, Pisa | Evaporitic Karst and Caves of Northern Apennines"
"ab8dc374-5acd-430f-b940-7885899ef8c5";"Edmonton";"Canada";"north_america";"Wide-open streets, a lively arts scene, and vibrant festivals create a welcoming atmosphere that feels both dynamic and comfortably laid-back.";"53546205";"-113491241";"Mid-range";"4";"3";"4";"1";"3";"3";"3";"3";"2";"None";"0";"0";"None"
"3c6506e6-c494-4622-aba3-2ba895530c7a";"Barcelona";"Spain";"europe";"Vibrant streets filled with Gaudí's whimsical architecture, lively tapas bars, and the warm Mediterranean breeze create an inviting and dynamic atmosphere.";"41382893";"2177432";"Mid-range";"5";"3";"3";"4";"5";"5";"3";"5";"2";"Literature";"2015";"2";"Works of Antoni Gaudí | Palau de la Música Catalana and Hospital de Sant Pau, Barcelona"
"75c6f7c9-5c87-464a-9c28-c91ecd55da98";"Banff";"Canada";"north_america";"Majestic mountains, crystal-clear lakes, and fresh alpine air create a breathtakingly serene atmosphere, perfect for nature lovers and adventure seekers alike.";"51175076";"-115572077";"Luxury";"3";"5";"5";"1";"2";"3";"4";"2";"4";"None";"0";"0";"None"
"a4f86f85-430e-400a-bda5-315c7bdefd57";"Maputo";"Mozambique";"africa";"Bustling markets, vibrant street life, and the rhythmic sounds of local music create a lively and colorful atmosphere to explore.";"-25966213";"32567450";"Mid-range";"3";"3";"4";"4";"3";"4";"3";"3";"2";"None";"0";"0";"None"
"a010e07c-cf4b-4cf9-8b08-40df2094addd";"Dar es Salaam";"Tanzania";"africa";"Lively markets, vibrant street life, and the warm Indian Ocean breeze create a dynamic and welcoming atmosphere full of local charm.";"-6816083";"39280358";"Budget";"4";"3";"4";"4";"3";"4";"3";"3";"2";"None";"0";"0";"None"
"61a3b6e3-f03f-42e4-b10d-80a3d1aec106";"Hamilton";"Bermuda";"north_america";"Charming streets lined with pastel buildings and the gentle sea breeze create a laid-back, yet vibrant island atmosphere.";"32294267";"-64785316";"Luxury";"3";"3";"4";"5";"3";"4";"4";"3";"2";"None";"0";"1";"Historic Town of St George and Related Fortifications, Bermuda"
"5cf8ffe5-b559-43a9-a030-fcf73b09400b";"Santiago de Chile";"Chile";"south_america";"A vibrant city where modern skyscrapers meet historic streets, offering stunning mountain views and a lively cultural scene full of energy.";"-33437775";"-70650450";"Mid-range";"4";"4";"4";"2";"4";"4";"3";"4";"2";"None";"0";"0";"None"
"273ff2d2-80b8-4886-81e4-1908a11e6f5a";"Shanghai";"China";"asia";"Vibrant streets pulse with energy, blending futuristic skyscrapers with ancient temples, while enticing aromas from street food stalls fill the air.";"31231270";"121470015";"Mid-range";"5";"3";"2";"1";"5";"5";"3";"5";"2";"Design";"2010";"0";"None"
"459b1d00-2b6e-4158-afe5-e091350990fe";"Kathmandu";"Nepal";"asia";"Nestled in a valley surrounded by towering peaks, the city buzzes with vibrant markets, ancient temples, and the aroma of spices.";"27708317";"85320581";"Budget";"5";"4";"4";"1";"2";"4";"3";"3";"2";"Film";"2023";"1";"Kathmandu Valley"
"60ac5495-4952-41a0-a2e8-d321d2f23a4d";"Auckland";"New Zealand";"oceania";"A lively harbor city where lush landscapes meet urban sophistication, offering a vibrant mix of cultures, flavors, and stunning coastal views.";"-36852095";"174763180";"Mid-range";"3";"4";"4";"3";"4";"4";"3";"4";"2";"Music";"2017";"0";"None"
"77b02e0f-770c-4fa7-b0a5-7cde588b203d";"Québec City";"Canada";"north_america";"Cobblestone streets and historic architecture create a charming, old-world atmosphere, while the aroma of fresh pastries fills the crisp air.";"46813743";"-71208406";"Mid-range";"5";"3";"4";"2";"3";"4";"3";"3";"3";"Literature";"2017";"0";"None"
"ca07286f-3b0c-4fd3-acae-444e7514def0";"Bogotá";"Colombia";"south_america";"A vibrant mix of colonial charm and modern energy, with bustling markets, rich history, and stunning mountain views that invigorate the senses.";"4653381";"-74083633";"Mid-range";"4";"3";"3";"1";"4";"4";"3";"4";"2";"None";"0";"0";"None"
"db0dcdf1-2bea-470f-935f-2c98bd125592";"Avarua";"Cook Islands";"oceania";"Tropical breezes and stunning ocean views create a laid-back island vibe, inviting you to unwind and soak in the serene beauty.";"-21207473";"-159770814";"Mid-range";"3";"3";"4";"5";"2";"3";"4";"2";"4";"None";"0";"0";"None"
"ae02cf5f-1483-4054-9122-186c5eb08664";"Izmir";"Turkey";"asia";"Coastal breezes carry the scent of the sea through bustling markets and lively streets, offering a vibrant yet laid-back Mediterranean vibe.";"38231660";"27029970";"Mid-range";"4";"3";"3";"4";"3";"4";"3";"4";"2";"None";"0";"1";"Ephesus"
"ba4d54dd-0e8d-4039-aad9-1f246fdacadb";"Skopje";"North Macedonia";"europe";"Wandering through eclectic streets, you'll encounter a blend of ancient history and modern quirks, with vibrant markets and grand statues at every turn.";"41996181";"21431921";"Budget";"4";"3";"3";"1";"3";"3";"2";"3";"3";"None";"0";"0";"None"
"38c4cd22-ea4a-4ae1-961b-939933868829";"Cartagena";"Colombia";"south_america";"Winding cobblestone streets, vibrant colonial architecture, and the rhythmic sound of salsa create a lively and colorful coastal atmosphere.";"10426556";"-75544167";"Mid-range";"5";"3";"3";"4";"4";"4";"3";"4";"2";"None";"0";"1";"Port, Fortresses and Group of Monuments, Cartagena"
"32c4ac7c-550f-417c-afcc-a1dc2b183e8f";"Dubrovnik";"Croatia";"europe";"Wander through ancient stone streets, bask in the Adriatic sun, and feel the blend of history and sea breeze at every corner.";"42649102";"18093950";"Mid-range";"5";"3";"4";"4";"3";"4";"3";"3";"2";"None";"0";"2";"Vjetrenica Cave, Ravno | Old City of Dubrovnik"
"f139e95f-1d18-40b9-a7f0-f8d908c05e53";"Bergen";"Norway";"europe";"Charming waterfront views, colorful wooden houses, and the fresh scent of sea air make this coastal city feel both cozy and invigorating.";"60394305";"5325919";"Luxury";"4";"4";"5";"2";"3";"3";"3";"3";"4";"Gastronomy";"2015";"1";"Bryggen"
"6a0bce48-86be-4f4c-9106-9308a936d565";"Bocas del Toro";"Panama";"north_america";"Crystal-clear waters lap against palm-fringed beaches, while vibrant marine life and laid-back island vibes create an unforgettable tropical escape.";"9268474";"-81993224";"Mid-range";"3";"4";"5";"5";"3";"3";"3";"2";"4";"None";"0";"0";"None"
"7c623237-bc71-4ba0-ae74-a64b0201eeba";"Santo Domingo";"Dominican Republic";"north_america";"Lively streets filled with the sound of merengue, colonial architecture, and the aroma of local cuisine create an inviting and vibrant atmosphere.";"18480197";"-69942111";"Mid-range";"4";"3";"3";"4";"4";"4";"3";"4";"2";"Music";"2019";"1";"Colonial City of Santo Domingo"
"198847d2-1823-4b9d-98dc-c9b9d22eb768";"Baños";"Ecuador";"south_america";"Lush green mountains, steaming thermal pools, and the thrill of adventure sports create an exhilarating yet serene escape in this enchanting town.";"-1331915";"-78262528";"Budget";"3";"5";"5";"1";"3";"3";"4";"2";"4";"None";"0";"0";"None"
"24446934-6d3a-4d1d-89e6-82c8337fd26c";"Cairo";"Egypt";"africa";"Bustling streets filled with vibrant markets, the aroma of spices, and the awe-inspiring sight of ancient pyramids create an unforgettable experience.";"30044387";"31235725";"Budget";"5";"3";"3";"2";"3";"4";"3";"4";"2";"Crafts and Folk Art";"2017";"1";"Historic Cairo"
"1c516349-193b-4421-9959-ad6cefe95efd";"Iquitos";"Peru";"south_america";"Lush rainforests, vibrant markets, and the hum of riverboats create an atmosphere buzzing with life and natural wonder.";"-3749365";"-73244414";"Budget";"3";"5";"5";"1";"2";"3";"2";"2";"4";"None";"0";"0";"None"
"2ebb8f10-653a-47d5-a403-f7a441bbc0a4";"Charlotte";"United States";"north_america";"Bustling streets lined with towering trees, vibrant arts scenes, and a warm Southern hospitality create a welcoming and lively atmosphere.";"35227208";"-80843082";"Mid-range";"3";"3";"3";"1";"3";"3";"3";"4";"2";"None";"0";"0";"None"
"caf79b01-70b6-450b-9601-66fdadb8df39";"Marseille";"France";"europe";"A lively port city with Mediterranean flair, bustling markets, and a mix of historic charm and modern vibrancy, offering endless exploration.";"43296174";"5369952";"Mid-range";"4";"3";"3";"3";"4";"4";"3";"4";"2";"None";"0";"0";"None"
"a93b9a93-c474-483c-9d27-8bb1f8b0090c";"Malabo";"Equatorial Guinea";"africa";"Tropical breezes mingle with the vibrant energy of colorful markets and lively streets, offering a warm and welcoming cultural experience.";"3741877";"8774066";"Mid-range";"3";"3";"4";"3";"2";"3";"2";"2";"4";"None";"0";"0";"None"
"c7d691ad-b361-404d-a6e4-ab4f7a4120c8";"Mbabane";"Eswatini";"africa";"Surrounded by lush mountains, the city offers a relaxed atmosphere where vibrant markets and friendly locals create an inviting experience.";"-26325745";"31144663";"Budget";"3";"3";"4";"1";"2";"3";"3";"2";"4";"None";"0";"1";"Barberton Makhonjwa Mountains"
